asset,type,signal,kind,unit,min,max,hh,h,l,ll,desc
M-201,motor,ST-201,analog-in,rpm,0,3000,2900,2800,,,speed
M-201,motor,M-201_RUNNING,discrete-in,,,,,,,,running
M-201,motor,M-201_FAULT,discrete-in,,,,,,,,fault
M-201,motor,M-201_START_REQ,discrete-out,,,,,,,,start
M-201,motor,M-201_STOP_REQ,discrete-out,,,,,,,,stop
M-202,motor,ST-202,analog-in,rpm,0,3000,2900,2800,,,speed
M-202,motor,M-202_RUNNING,discrete-in,,,,,,,,running
M-202,motor,M-202_FAULT,discrete-in,,,,,,,,fault
M-202,motor,M-202_START_REQ,discrete-out,,,,,,,,start
M-202,motor,M-202_STOP_REQ,discrete-out,,,,,,,,stop
M-203,motor,ST-203,analog-in,rpm,0,3000,2900,2800,,,speed
M-203,motor,M-203_RUNNING,discrete-in,,,,,,,,running
M-203,motor,M-203_FAULT,discrete-in,,,,,,,,fault
M-203,motor,M-203_START_REQ,discrete-out,,,,,,,,start
M-203,motor,M-203_STOP_REQ,discrete-out,,,,,,,,stop
M-204,motor,ST-204,analog-in,rpm,0,3000,2900,2800,,,speed
M-204,motor,M-204_RUNNING,discrete-in,,,,,,,,running
M-204,motor,M-204_FAULT,discrete-in,,,,,,,,fault
M-204,motor,M-204_START_REQ,discrete-out,,,,,,,,start
M-204,motor,M-204_STOP_REQ,discrete-out,,,,,,,,stop
P-201,pump,PT-201,analog-in,bar,0,16,14,12,,2,pressure
P-201,pump,FT-201,analog-in,mL/min,0,500,,,,,flow
P-201,pump,P-201_RUNNING,discrete-in,,,,,,,,running
P-201,pump,P-201_FAULT,discrete-in,,,,,,,,fault
P-201,pump,P-201_START_REQ,discrete-out,,,,,,,,start
P-201,pump,P-201_STOP_REQ,discrete-out,,,,,,,,stop
P-202,pump,PT-202,analog-in,bar,0,16,14,12,,2,pressure
P-202,pump,FT-202,analog-in,mL/min,0,500,,,,,flow
P-202,pump,P-202_RUNNING,discrete-in,,,,,,,,running
P-202,pump,P-202_FAULT,discrete-in,,,,,,,,fault
P-202,pump,P-202_START_REQ,discrete-out,,,,,,,,start
P-202,pump,P-202_STOP_REQ,discrete-out,,,,,,,,stop
P-203,pump,PT-203,analog-in,bar,0,16,14,12,,2,pressure
P-203,pump,FT-203,analog-in,mL/min,0,500,,,,,flow
P-203,pump,P-203_RUNNING,discrete-in,,,,,,,,running
P-203,pump,P-203_FAULT,discrete-in,,,,,,,,fault
P-203,pump,P-203_START_REQ,discrete-out,,,,,,,,start
P-203,pump,P-203_STOP_REQ,discrete-out,,,,,,,,stop
P-204,pump,PT-204,analog-in,bar,0,16,14,12,,2,pressure
P-204,pump,FT-204,analog-in,mL/min,0,500,,,,,flow
P-204,pump,P-204_RUNNING,discrete-in,,,,,,,,running
P-204,pump,P-204_FAULT,discrete-in,,,,,,,,fault
P-204,pump,P-204_START_REQ,discrete-out,,,,,,,,start
P-204,pump,P-204_STOP_REQ,discrete-out,,,,,,,,stop
XV-201,valve,XV-201_OPEN,discrete-in,,,,,,,,open limit
XV-201,valve,XV-201_CLOSED,discrete-in,,,,,,,,closed limit
XV-201,valve,XV-201_OPEN_REQ,discrete-out,,,,,,,,open
XV-201,valve,XV-201_CLOSE_REQ,discrete-out,,,,,,,,close
XV-202,valve,XV-202_OPEN,discrete-in,,,,,,,,open limit
XV-202,valve,XV-202_CLOSED,discrete-in,,,,,,,,closed limit
XV-202,valve,XV-202_OPEN_REQ,discrete-out,,,,,,,,open
XV-202,valve,XV-202_CLOSE_REQ,discrete-out,,,,,,,,close
XV-203,valve,XV-203_OPEN,discrete-in,,,,,,,,open limit
XV-203,valve,XV-203_CLOSED,discrete-in,,,,,,,,closed limit
XV-203,valve,XV-203_OPEN_REQ,discrete-out,,,,,,,,open
XV-203,valve,XV-203_CLOSE_REQ,discrete-out,,,,,,,,close
XV-204,valve,XV-204_OPEN,discrete-in,,,,,,,,open limit
XV-204,valve,XV-204_CLOSED,discrete-in,,,,,,,,closed limit
XV-204,valve,XV-204_OPEN_REQ,discrete-out,,,,,,,,open
XV-204,valve,XV-204_CLOSE_REQ,discrete-out,,,,,,,,close
XV-205,valve,XV-205_OPEN,discrete-in,,,,,,,,open limit
XV-205,valve,XV-205_CLOSED,discrete-in,,,,,,,,closed limit
XV-205,valve,XV-205_OPEN_REQ,discrete-out,,,,,,,,open
XV-205,valve,XV-205_CLOSE_REQ,discrete-out,,,,,,,,close
XV-206,valve,XV-206_OPEN,discrete-in,,,,,,,,open limit
XV-206,valve,XV-206_CLOSED,discrete-in,,,,,,,,closed limit
XV-206,valve,XV-206_OPEN_REQ,discrete-out,,,,,,,,open
XV-206,valve,XV-206_CLOSE_REQ,discrete-out,,,,,,,,close
