asset,type,signal,kind,unit,min,max,hh,h,l,ll,desc
TK-301,tank,LT-301,analog-in,%,0,100,90,80,20,10,level
TK-301,tank,TT-301,analog-in,degC,0,200,150,130,,,temp
TK-301,tank,PT-301,analog-in,mbar,0,100,90,80,,,gas-pressure
TK-302,tank,LT-302,analog-in,%,0,100,90,80,20,10,level
TK-302,tank,TT-302,analog-in,degC,0,200,150,130,,,temp
TK-302,tank,PT-302,analog-in,mbar,0,100,90,80,,,gas-pressure
TK-303,tank,LT-303,analog-in,%,0,100,90,80,20,10,level
TK-303,tank,TT-303,analog-in,degC,0,200,150,130,,,temp
TK-303,tank,PT-303,analog-in,mbar,0,100,90,80,,,gas-pressure
P-301,pump,FT-301,analog-in,m3/h,0,300,,,,10,flow
P-301,pump,P-301_RUNNING,discrete-in,,,,,,,,running
P-301,pump,P-301_FAULT,discrete-in,,,,,,,,fault
P-301,pump,P-301_START_REQ,discrete-out,,,,,,,,start
P-301,pump,P-301_STOP_REQ,discrete-out,,,,,,,,stop
P-302,pump,FT-302,analog-in,m3/h,0,300,,,,10,flow
P-302,pump,P-302_RUNNING,discrete-in,,,,,,,,running
P-302,pump,P-302_FAULT,discrete-in,,,,,,,,fault
P-302,pump,P-302_START_REQ,discrete-out,,,,,,,,start
P-302,pump,P-302_STOP_REQ,discrete-out,,,,,,,,stop
P-303,pump,FT-303,analog-in,m3/h,0,300,,,,10,flow
P-303,pump,P-303_RUNNING,discrete-in,,,,,,,,running
P-303,pump,P-303_FAULT,discrete-in,,,,,,,,fault
P-303,pump,P-303_START_REQ,discrete-out,,,,,,,,start
P-303,pump,P-303_STOP_REQ,discrete-out,,,,,,,,stop
XV-301,valve,XV-301_OPEN,discrete-in,,,,,,,,open limit
XV-301,valve,XV-301_CLOSED,discrete-in,,,,,,,,closed limit
XV-301,valve,XV-301_OPEN_REQ,discrete-out,,,,,,,,open
XV-301,valve,XV-301_CLOSE_REQ,discrete-out,,,,,,,,close
XV-302,valve,XV-302_OPEN,discrete-in,,,,,,,,open limit
XV-302,valve,XV-302_CLOSED,discrete-in,,,,,,,,closed limit
XV-302,valve,XV-302_OPEN_REQ,discrete-out,,,,,,,,open
XV-302,valve,XV-302_CLOSE_REQ,discrete-out,,,,,,,,close
XV-303,valve,XV-303_OPEN,discrete-in,,,,,,,,open limit
XV-303,valve,XV-303_CLOSED,discrete-in,,,,,,,,closed limit
XV-303,valve,XV-303_OPEN_REQ,discrete-out,,,,,,,,open
XV-303,valve,XV-303_CLOSE_REQ,discrete-out,,,,,,,,close
XV-304,valve,XV-304_OPEN,discrete-in,,,,,,,,open limit
XV-304,valve,XV-304_CLOSED,discrete-in,,,,,,,,closed limit
XV-304,valve,XV-304_OPEN_REQ,discrete-out,,,,,,,,open
XV-304,valve,XV-304_CLOSE_REQ,discrete-out,,,,,,,,close
XV-305,valve,XV-305_OPEN,discrete-in,,,,,,,,open limit
XV-305,valve,XV-305_CLOSED,discrete-in,,,,,,,,closed limit
XV-305,valve,XV-305_OPEN_REQ,discrete-out,,,,,,,,open
XV-305,valve,XV-305_CLOSE_REQ,discrete-out,,,,,,,,close
M-301,motor,M-301_RUNNING,discrete-in,,,,,,,,running
M-301,motor,M-301_FAULT,discrete-in,,,,,,,,fault
M-301,motor,M-301_START_REQ,discrete-out,,,,,,,,start
M-301,motor,M-301_STOP_REQ,discrete-out,,,,,,,,stop
