asset,type,signal,kind,unit,min,max,hh,h,l,ll,desc
TK-401,tank,LT-401,analog-in,%,0,100,90,80,20,10,drum-level
TK-401,tank,PT-401,analog-in,bar,0,16,14,12,,2,steam-pressure
TK-401,tank,TT-401,analog-in,degC,0,200,150,130,,,temp
P-401,pump,PT-401,analog-in,bar,0,16,14,12,,2,pressure
P-401,pump,P-401_RUNNING,discrete-in,,,,,,,,running
P-401,pump,P-401_FAULT,discrete-in,,,,,,,,fault
P-401,pump,P-401_START_REQ,discrete-out,,,,,,,,start
P-401,pump,P-401_STOP_REQ,discrete-out,,,,,,,,stop
XV-401,valve,XV-401_OPEN,discrete-in,,,,,,,,open limit
XV-401,valve,XV-401_CLOSED,discrete-in,,,,,,,,closed limit
XV-401,valve,XV-401_OPEN_REQ,discrete-out,,,,,,,,open
XV-401,valve,XV-401_CLOSE_REQ,discrete-out,,,,,,,,close
XV-402,valve,XV-402_OPEN,discrete-in,,,,,,,,open limit
XV-402,valve,XV-402_CLOSED,discrete-in,,,,,,,,closed limit
XV-402,valve,XV-402_OPEN_REQ,discrete-out,,,,,,,,open
XV-402,valve,XV-402_CLOSE_REQ,discrete-out,,,,,,,,close
XV-403,valve,XV-403_OPEN,discrete-in,,,,,,,,open limit
XV-403,valve,XV-403_CLOSED,discrete-in,,,,,,,,closed limit
XV-403,valve,XV-403_OPEN_REQ,discrete-out,,,,,,,,open
XV-403,valve,XV-403_CLOSE_REQ,discrete-out,,,,,,,,close
M-401,motor,ST-401,analog-in,rpm,0,3000,2900,2800,,,fd-fan
M-401,motor,M-401_RUNNING,discrete-in,,,,,,,,running
M-401,motor,M-401_FAULT,discrete-in,,,,,,,,fault
M-401,motor,M-401_START_REQ,discrete-out,,,,,,,,start
M-401,motor,M-401_STOP_REQ,discrete-out,,,,,,,,stop
