asset,type,signal,kind,unit,min,max,hh,h,l,ll,desc
TK-101,tank,LT-101,analog-in,%,0,100,90,80,20,10,level
TK-101,tank,TT-101,analog-in,degC,0,200,150,130,,,temp
TK-101,tank,PT-101,analog-in,bar,0,16,14,12,,2,pressure
TK-102,tank,LT-102,analog-in,%,0,100,90,80,20,10,level
TK-102,tank,TT-102,analog-in,degC,0,200,150,130,,,temp
TK-102,tank,PT-102,analog-in,bar,0,16,14,12,,2,pressure
TK-103,tank,LT-103,analog-in,%,0,100,90,80,20,10,level
TK-103,tank,TT-103,analog-in,degC,0,200,150,130,,,temp
TK-103,tank,PT-103,analog-in,bar,0,16,14,12,,2,pressure
M-101,motor,ST-101,analog-in,rpm,0,3000,2900,2800,,,agitator
M-101,motor,M-101_RUNNING,discrete-in,,,,,,,,running
M-101,motor,M-101_FAULT,discrete-in,,,,,,,,fault
M-101,motor,M-101_START_REQ,discrete-out,,,,,,,,start
M-101,motor,M-101_STOP_REQ,discrete-out,,,,,,,,stop
M-102,motor,ST-102,analog-in,rpm,0,3000,2900,2800,,,agitator
M-102,motor,M-102_RUNNING,discrete-in,,,,,,,,running
M-102,motor,M-102_FAULT,discrete-in,,,,,,,,fault
M-102,motor,M-102_START_REQ,discrete-out,,,,,,,,start
M-102,motor,M-102_STOP_REQ,discrete-out,,,,,,,,stop
P-101,pump,PT-101,analog-in,bar,0,16,14,12,,2,pressure
P-101,pump,P-101_RUNNING,discrete-in,,,,,,,,running
P-101,pump,P-101_FAULT,discrete-in,,,,,,,,fault
P-101,pump,P-101_START_REQ,discrete-out,,,,,,,,start
P-101,pump,P-101_STOP_REQ,discrete-out,,,,,,,,stop
P-102,pump,PT-102,analog-in,bar,0,16,14,12,,2,pressure
P-102,pump,P-102_RUNNING,discrete-in,,,,,,,,running
P-102,pump,P-102_FAULT,discrete-in,,,,,,,,fault
P-102,pump,P-102_START_REQ,discrete-out,,,,,,,,start
P-102,pump,P-102_STOP_REQ,discrete-out,,,,,,,,stop
XV-101,valve,XV-101_OPEN,discrete-in,,,,,,,,open limit
XV-101,valve,XV-101_CLOSED,discrete-in,,,,,,,,closed limit
XV-101,valve,XV-101_OPEN_REQ,discrete-out,,,,,,,,open
XV-101,valve,XV-101_CLOSE_REQ,discrete-out,,,,,,,,close
XV-102,valve,XV-102_OPEN,discrete-in,,,,,,,,open limit
XV-102,valve,XV-102_CLOSED,discrete-in,,,,,,,,closed limit
XV-102,valve,XV-102_OPEN_REQ,discrete-out,,,,,,,,open
XV-102,valve,XV-102_CLOSE_REQ,discrete-out,,,,,,,,close
XV-103,valve,XV-103_OPEN,discrete-in,,,,,,,,open limit
XV-103,valve,XV-103_CLOSED,discrete-in,,,,,,,,closed limit
XV-103,valve,XV-103_OPEN_REQ,discrete-out,,,,,,,,open
XV-103,valve,XV-103_CLOSE_REQ,discrete-out,,,,,,,,close
XV-104,valve,XV-104_OPEN,discrete-in,,,,,,,,open limit
XV-104,valve,XV-104_CLOSED,discrete-in,,,,,,,,closed limit
XV-104,valve,XV-104_OPEN_REQ,discrete-out,,,,,,,,open
XV-104,valve,XV-104_CLOSE_REQ,discrete-out,,,,,,,,close
XV-105,valve,XV-105_OPEN,discrete-in,,,,,,,,open limit
XV-105,valve,XV-105_CLOSED,discrete-in,,,,,,,,closed limit
XV-105,valve,XV-105_OPEN_REQ,discrete-out,,,,,,,,open
XV-105,valve,XV-105_CLOSE_REQ,discrete-out,,,,,,,,close
