asset,type,signal,kind,unit,min,max,hh,h,l,ll,desc
M-401,motor,ST-401,analog-in,rpm,0,3000,2900,2800,,,compressor
M-401,motor,PT-401,analog-in,bar,0,16,14,12,,2,refrig
M-401,motor,TT-401,analog-in,degC,0,200,150,130,,,temp
M-401,motor,M-401_RUNNING,discrete-in,,,,,,,,running
M-401,motor,M-401_FAULT,discrete-in,,,,,,,,fault
M-401,motor,M-401_START_REQ,discrete-out,,,,,,,,start
M-401,motor,M-401_STOP_REQ,discrete-out,,,,,,,,stop
M-402,motor,ST-402,analog-in,rpm,0,3000,2900,2800,,,compressor
M-402,motor,PT-402,analog-in,bar,0,16,14,12,,2,refrig
M-402,motor,TT-402,analog-in,degC,0,200,150,130,,,temp
M-402,motor,M-402_RUNNING,discrete-in,,,,,,,,running
M-402,motor,M-402_FAULT,discrete-in,,,,,,,,fault
M-402,motor,M-402_START_REQ,discrete-out,,,,,,,,start
M-402,motor,M-402_STOP_REQ,discrete-out,,,,,,,,stop
M-403,motor,ST-403,analog-in,rpm,0,3000,2900,2800,,,compressor
M-403,motor,PT-403,analog-in,bar,0,16,14,12,,2,refrig
M-403,motor,TT-403,analog-in,degC,0,200,150,130,,,temp
M-403,motor,M-403_RUNNING,discrete-in,,,,,,,,running
M-403,motor,M-403_FAULT,discrete-in,,,,,,,,fault
M-403,motor,M-403_START_REQ,discrete-out,,,,,,,,start
M-403,motor,M-403_STOP_REQ,discrete-out,,,,,,,,stop
M-404,motor,ST-404,analog-in,rpm,0,3000,2900,2800,,,compressor
M-404,motor,PT-404,analog-in,bar,0,16,14,12,,2,refrig
M-404,motor,TT-404,analog-in,degC,0,200,150,130,,,temp
M-404,motor,M-404_RUNNING,discrete-in,,,,,,,,running
M-404,motor,M-404_FAULT,discrete-in,,,,,,,,fault
M-404,motor,M-404_START_REQ,discrete-out,,,,,,,,start
M-404,motor,M-404_STOP_REQ,discrete-out,,,,,,,,stop
P-401,pump,FT-401,analog-in,m3/h,0,300,,,,10,flow
P-401,pump,P-401_RUNNING,discrete-in,,,,,,,,running
P-401,pump,P-401_FAULT,discrete-in,,,,,,,,fault
P-401,pump,P-401_START_REQ,discrete-out,,,,,,,,start
P-401,pump,P-401_STOP_REQ,discrete-out,,,,,,,,stop
P-402,pump,FT-402,analog-in,m3/h,0,300,,,,10,flow
P-402,pump,P-402_RUNNING,discrete-in,,,,,,,,running
P-402,pump,P-402_FAULT,discrete-in,,,,,,,,fault
P-402,pump,P-402_START_REQ,discrete-out,,,,,,,,start
P-402,pump,P-402_STOP_REQ,discrete-out,,,,,,,,stop
P-403,pump,FT-403,analog-in,m3/h,0,300,,,,10,flow
P-403,pump,P-403_RUNNING,discrete-in,,,,,,,,running
P-403,pump,P-403_FAULT,discrete-in,,,,,,,,fault
P-403,pump,P-403_START_REQ,discrete-out,,,,,,,,start
P-403,pump,P-403_STOP_REQ,discrete-out,,,,,,,,stop
P-404,pump,FT-404,analog-in,m3/h,0,300,,,,10,flow
P-404,pump,P-404_RUNNING,discrete-in,,,,,,,,running
P-404,pump,P-404_FAULT,discrete-in,,,,,,,,fault
P-404,pump,P-404_START_REQ,discrete-out,,,,,,,,start
P-404,pump,P-404_STOP_REQ,discrete-out,,,,,,,,stop
P-405,pump,FT-405,analog-in,m3/h,0,300,,,,10,flow
P-405,pump,P-405_RUNNING,discrete-in,,,,,,,,running
P-405,pump,P-405_FAULT,discrete-in,,,,,,,,fault
P-405,pump,P-405_START_REQ,discrete-out,,,,,,,,start
P-405,pump,P-405_STOP_REQ,discrete-out,,,,,,,,stop
XV-401,valve,XV-401_OPEN,discrete-in,,,,,,,,open limit
XV-401,valve,XV-401_CLOSED,discrete-in,,,,,,,,closed limit
XV-401,valve,XV-401_OPEN_REQ,discrete-out,,,,,,,,open
XV-401,valve,XV-401_CLOSE_REQ,discrete-out,,,,,,,,close
XV-402,valve,XV-402_OPEN,discrete-in,,,,,,,,open limit
XV-402,valve,XV-402_CLOSED,discrete-in,,,,,,,,closed limit
XV-402,valve,XV-402_OPEN_REQ,discrete-out,,,,,,,,open
XV-402,valve,XV-402_CLOSE_REQ,discrete-out,,,,,,,,close
XV-403,valve,XV-403_OPEN,discrete-in,,,,,,,,open limit
XV-403,valve,XV-403_CLOSED,discrete-in,,,,,,,,closed limit
XV-403,valve,XV-403_OPEN_REQ,discrete-out,,,,,,,,open
XV-403,valve,XV-403_CLOSE_REQ,discrete-out,,,,,,,,close
XV-404,valve,XV-404_OPEN,discrete-in,,,,,,,,open limit
XV-404,valve,XV-404_CLOSED,discrete-in,,,,,,,,closed limit
XV-404,valve,XV-404_OPEN_REQ,discrete-out,,,,,,,,open
XV-404,valve,XV-404_CLOSE_REQ,discrete-out,,,,,,,,close
