asset,type,signal,kind,unit,min,max,hh,h,l,ll,desc
M-101,motor,ST-101,analog-in,rpm,0,3000,2900,2800,,,speed
M-101,motor,PT-101,analog-in,bar,0,16,14,12,,2,discharge
M-101,motor,IT-101,analog-in,A,0,400,380,350,,,current
M-101,motor,M-101_RUNNING,discrete-in,,,,,,,,running
M-101,motor,M-101_FAULT,discrete-in,,,,,,,,fault
M-101,motor,M-101_START_REQ,discrete-out,,,,,,,,start
M-101,motor,M-101_STOP_REQ,discrete-out,,,,,,,,stop
M-102,motor,ST-102,analog-in,rpm,0,3000,2900,2800,,,speed
M-102,motor,PT-102,analog-in,bar,0,16,14,12,,2,discharge
M-102,motor,IT-102,analog-in,A,0,400,380,350,,,current
M-102,motor,M-102_RUNNING,discrete-in,,,,,,,,running
M-102,motor,M-102_FAULT,discrete-in,,,,,,,,fault
M-102,motor,M-102_START_REQ,discrete-out,,,,,,,,start
M-102,motor,M-102_STOP_REQ,discrete-out,,,,,,,,stop
TK-101,tank,PT-101,analog-in,bar,0,16,14,12,,2,receiver
TK-102,tank,PT-102,analog-in,bar,0,16,14,12,,2,receiver
TK-103,tank,PT-103,analog-in,bar,0,16,14,12,,2,receiver
TK-104,tank,PT-104,analog-in,bar,0,16,14,12,,2,receiver
XV-101,valve,XV-101_OPEN,discrete-in,,,,,,,,open limit
XV-101,valve,XV-101_CLOSED,discrete-in,,,,,,,,closed limit
XV-101,valve,XV-101_OPEN_REQ,discrete-out,,,,,,,,open
XV-101,valve,XV-101_CLOSE_REQ,discrete-out,,,,,,,,close
XV-102,valve,XV-102_OPEN,discrete-in,,,,,,,,open limit
XV-102,valve,XV-102_CLOSED,discrete-in,,,,,,,,closed limit
XV-102,valve,XV-102_OPEN_REQ,discrete-out,,,,,,,,open
XV-102,valve,XV-102_CLOSE_REQ,discrete-out,,,,,,,,close
