asset,type,signal,kind,unit,min,max,hh,h,l,ll,desc
M-301,motor,ST-301,analog-in,rpm,0,3000,2900,2800,,,speed
M-301,motor,JT-301,analog-in,kW,0,2000,1900,1800,,,power
M-301,motor,M-301_RUNNING,discrete-in,,,,,,,,running
M-301,motor,M-301_FAULT,discrete-in,,,,,,,,fault
M-301,motor,M-301_START_REQ,discrete-out,,,,,,,,start
M-301,motor,M-301_STOP_REQ,discrete-out,,,,,,,,stop
M-302,motor,ST-302,analog-in,rpm,0,3000,2900,2800,,,speed
M-302,motor,JT-302,analog-in,kW,0,2000,1900,1800,,,power
M-302,motor,M-302_RUNNING,discrete-in,,,,,,,,running
M-302,motor,M-302_FAULT,discrete-in,,,,,,,,fault
M-302,motor,M-302_START_REQ,discrete-out,,,,,,,,start
M-302,motor,M-302_STOP_REQ,discrete-out,,,,,,,,stop
M-303,motor,ST-303,analog-in,rpm,0,3000,2900,2800,,,speed
M-303,motor,JT-303,analog-in,kW,0,2000,1900,1800,,,power
M-303,motor,M-303_RUNNING,discrete-in,,,,,,,,running
M-303,motor,M-303_FAULT,discrete-in,,,,,,,,fault
M-303,motor,M-303_START_REQ,discrete-out,,,,,,,,start
M-303,motor,M-303_STOP_REQ,discrete-out,,,,,,,,stop
M-304,motor,ST-304,analog-in,rpm,0,3000,2900,2800,,,speed
M-304,motor,JT-304,analog-in,kW,0,2000,1900,1800,,,power
M-304,motor,M-304_RUNNING,discrete-in,,,,,,,,running
M-304,motor,M-304_FAULT,discrete-in,,,,,,,,fault
M-304,motor,M-304_START_REQ,discrete-out,,,,,,,,start
M-304,motor,M-304_STOP_REQ,discrete-out,,,,,,,,stop
M-305,motor,ST-305,analog-in,rpm,0,3000,2900,2800,,,speed
M-305,motor,JT-305,analog-in,kW,0,2000,1900,1800,,,power
M-305,motor,M-305_RUNNING,discrete-in,,,,,,,,running
M-305,motor,M-305_FAULT,discrete-in,,,,,,,,fault
M-305,motor,M-305_START_REQ,discrete-out,,,,,,,,start
M-305,motor,M-305_STOP_REQ,discrete-out,,,,,,,,stop
M-306,motor,ST-306,analog-in,rpm,0,3000,2900,2800,,,speed
M-306,motor,JT-306,analog-in,kW,0,2000,1900,1800,,,power
M-306,motor,M-306_RUNNING,discrete-in,,,,,,,,running
M-306,motor,M-306_FAULT,discrete-in,,,,,,,,fault
M-306,motor,M-306_START_REQ,discrete-out,,,,,,,,start
M-306,motor,M-306_STOP_REQ,discrete-out,,,,,,,,stop
XV-301,valve,XV-301_OPEN,discrete-in,,,,,,,,open limit
XV-301,valve,XV-301_CLOSED,discrete-in,,,,,,,,closed limit
XV-301,valve,XV-301_OPEN_REQ,discrete-out,,,,,,,,open
XV-301,valve,XV-301_CLOSE_REQ,discrete-out,,,,,,,,close
XV-302,valve,XV-302_OPEN,discrete-in,,,,,,,,open limit
XV-302,valve,XV-302_CLOSED,discrete-in,,,,,,,,closed limit
XV-302,valve,XV-302_OPEN_REQ,discrete-out,,,,,,,,open
XV-302,valve,XV-302_CLOSE_REQ,discrete-out,,,,,,,,close
XV-303,valve,XV-303_OPEN,discrete-in,,,,,,,,open limit
XV-303,valve,XV-303_CLOSED,discrete-in,,,,,,,,closed limit
XV-303,valve,XV-303_OPEN_REQ,discrete-out,,,,,,,,open
XV-303,valve,XV-303_CLOSE_REQ,discrete-out,,,,,,,,close
XV-304,valve,XV-304_OPEN,discrete-in,,,,,,,,open limit
XV-304,valve,XV-304_CLOSED,discrete-in,,,,,,,,closed limit
XV-304,valve,XV-304_OPEN_REQ,discrete-out,,,,,,,,open
XV-304,valve,XV-304_CLOSE_REQ,discrete-out,,,,,,,,close
TK-301,tank,LT-301,analog-in,%,0,100,90,80,20,10,level
TK-302,tank,LT-302,analog-in,%,0,100,90,80,20,10,level
TK-303,tank,LT-303,analog-in,%,0,100,90,80,20,10,level
