asset,type,signal,kind,unit,min,max,hh,h,l,ll,desc
M-201,motor,ST-201,analog-in,rpm,0,3000,2900,2800,,,roller
M-201,motor,M-201_RUNNING,discrete-in,,,,,,,,running
M-201,motor,M-201_FAULT,discrete-in,,,,,,,,fault
M-201,motor,M-201_START_REQ,discrete-out,,,,,,,,start
M-201,motor,M-201_STOP_REQ,discrete-out,,,,,,,,stop
M-202,motor,ST-202,analog-in,rpm,0,3000,2900,2800,,,roller
M-202,motor,M-202_RUNNING,discrete-in,,,,,,,,running
M-202,motor,M-202_FAULT,discrete-in,,,,,,,,fault
M-202,motor,M-202_START_REQ,discrete-out,,,,,,,,start
M-202,motor,M-202_STOP_REQ,discrete-out,,,,,,,,stop
XV-201,valve,ZT-201,analog-in,%,0,100,90,80,20,10,position
XV-201,valve,XV-201_OPEN,discrete-in,,,,,,,,open limit
XV-201,valve,XV-201_CLOSED,discrete-in,,,,,,,,closed limit
XV-201,valve,XV-201_OPEN_REQ,discrete-out,,,,,,,,open
XV-201,valve,XV-201_CLOSE_REQ,discrete-out,,,,,,,,close
XV-202,valve,ZT-202,analog-in,%,0,100,90,80,20,10,position
XV-202,valve,XV-202_OPEN,discrete-in,,,,,,,,open limit
XV-202,valve,XV-202_CLOSED,discrete-in,,,,,,,,closed limit
XV-202,valve,XV-202_OPEN_REQ,discrete-out,,,,,,,,open
XV-202,valve,XV-202_CLOSE_REQ,discrete-out,,,,,,,,close
XV-203,valve,ZT-203,analog-in,%,0,100,90,80,20,10,position
XV-203,valve,XV-203_OPEN,discrete-in,,,,,,,,open limit
XV-203,valve,XV-203_CLOSED,discrete-in,,,,,,,,closed limit
XV-203,valve,XV-203_OPEN_REQ,discrete-out,,,,,,,,open
XV-203,valve,XV-203_CLOSE_REQ,discrete-out,,,,,,,,close
XV-204,valve,ZT-204,analog-in,%,0,100,90,80,20,10,position
XV-204,valve,XV-204_OPEN,discrete-in,,,,,,,,open limit
XV-204,valve,XV-204_CLOSED,discrete-in,,,,,,,,closed limit
XV-204,valve,XV-204_OPEN_REQ,discrete-out,,,,,,,,open
XV-204,valve,XV-204_CLOSE_REQ,discrete-out,,,,,,,,close
TK-201,tank,TT-201,analog-in,degC,0,200,150,130,,,furnace-temp
TK-202,tank,TT-202,analog-in,degC,0,200,150,130,,,furnace-temp
