asset,type,signal,kind,unit,min,max,hh,h,l,ll,desc
TK-201,tank,LT-201,analog-in,%,0,100,90,80,20,10,level
TK-201,tank,AIT-201,analog-in,NTU,0,50,20,10,,,turbidity
TK-202,tank,LT-202,analog-in,%,0,100,90,80,20,10,level
TK-202,tank,AIT-202,analog-in,NTU,0,50,20,10,,,turbidity
TK-203,tank,LT-203,analog-in,%,0,100,90,80,20,10,level
TK-203,tank,AIT-203,analog-in,NTU,0,50,20,10,,,turbidity
TK-204,tank,LT-204,analog-in,%,0,100,90,80,20,10,level
TK-204,tank,AIT-204,analog-in,NTU,0,50,20,10,,,turbidity
P-201,pump,PT-201,analog-in,bar,0,16,14,12,,2,pressure
P-201,pump,P-201_RUNNING,discrete-in,,,,,,,,running
P-201,pump,P-201_FAULT,discrete-in,,,,,,,,fault
P-201,pump,P-201_START_REQ,discrete-out,,,,,,,,start
P-201,pump,P-201_STOP_REQ,discrete-out,,,,,,,,stop
P-202,pump,PT-202,analog-in,bar,0,16,14,12,,2,pressure
P-202,pump,P-202_RUNNING,discrete-in,,,,,,,,running
P-202,pump,P-202_FAULT,discrete-in,,,,,,,,fault
P-202,pump,P-202_START_REQ,discrete-out,,,,,,,,start
P-202,pump,P-202_STOP_REQ,discrete-out,,,,,,,,stop
P-203,pump,PT-203,analog-in,bar,0,16,14,12,,2,pressure
P-203,pump,P-203_RUNNING,discrete-in,,,,,,,,running
P-203,pump,P-203_FAULT,discrete-in,,,,,,,,fault
P-203,pump,P-203_START_REQ,discrete-out,,,,,,,,start
P-203,pump,P-203_STOP_REQ,discrete-out,,,,,,,,stop
P-204,pump,PT-204,analog-in,bar,0,16,14,12,,2,pressure
P-204,pump,P-204_RUNNING,discrete-in,,,,,,,,running
P-204,pump,P-204_FAULT,discrete-in,,,,,,,,fault
P-204,pump,P-204_START_REQ,discrete-out,,,,,,,,start
P-204,pump,P-204_STOP_REQ,discrete-out,,,,,,,,stop
P-205,pump,PT-205,analog-in,bar,0,16,14,12,,2,pressure
P-205,pump,P-205_RUNNING,discrete-in,,,,,,,,running
P-205,pump,P-205_FAULT,discrete-in,,,,,,,,fault
P-205,pump,P-205_START_REQ,discrete-out,,,,,,,,start
P-205,pump,P-205_STOP_REQ,discrete-out,,,,,,,,stop
M-201,motor,ST-201,analog-in,rpm,0,3000,2900,2800,,,speed
M-201,motor,M-201_RUNNING,discrete-in,,,,,,,,running
M-201,motor,M-201_FAULT,discrete-in,,,,,,,,fault
M-201,motor,M-201_START_REQ,discrete-out,,,,,,,,start
M-201,motor,M-201_STOP_REQ,discrete-out,,,,,,,,stop
XV-201,valve,XV-201_OPEN,discrete-in,,,,,,,,open limit
XV-201,valve,XV-201_CLOSED,discrete-in,,,,,,,,closed limit
XV-201,valve,XV-201_OPEN_REQ,discrete-out,,,,,,,,open
XV-201,valve,XV-201_CLOSE_REQ,discrete-out,,,,,,,,close
XV-202,valve,XV-202_OPEN,discrete-in,,,,,,,,open limit
XV-202,valve,XV-202_CLOSED,discrete-in,,,,,,,,closed limit
XV-202,valve,XV-202_OPEN_REQ,discrete-out,,,,,,,,open
XV-202,valve,XV-202_CLOSE_REQ,discrete-out,,,,,,,,close
XV-203,valve,XV-203_OPEN,discrete-in,,,,,,,,open limit
XV-203,valve,XV-203_CLOSED,discrete-in,,,,,,,,closed limit
XV-203,valve,XV-203_OPEN_REQ,discrete-out,,,,,,,,open
XV-203,valve,XV-203_CLOSE_REQ,discrete-out,,,,,,,,close
XV-204,valve,XV-204_OPEN,discrete-in,,,,,,,,open limit
XV-204,valve,XV-204_CLOSED,discrete-in,,,,,,,,closed limit
XV-204,valve,XV-204_OPEN_REQ,discrete-out,,,,,,,,open
XV-204,valve,XV-204_CLOSE_REQ,discrete-out,,,,,,,,close
